bachelor_degree_level_tot_2016, advanced_diploma_diploma_level_tot_2016, no_scl_tot_2016, graduate_diploma_graduate_certificate_level_tot_2016, yr_12_equivalent_tot_2016, remoteness, postgraduate_degree_level_tot_2016, certificate_level_tot_2016, est_res_pop, sa3_code, yr, unemployed_tot, longitude, latitude, labour_force_tot
32339,15684,1727,4106,95746,"Major Cities of Australia",8335,21146,208619,"50502",2016,7425,115.8157283,-31.88376668,118837
16204,13837,1440,1920,75291,"Major Cities of Australia",3178,29139,195711,"50503",2016,8461,115.7632885,-31.61206781,104407
11125,5498,601,1263,35108,"Major Cities of Australia",3352,8268,75904,"50602",2016,2643,115.9409331,-31.9575685,44443
15641,7360,644,1642,48679,"Major Cities of Australia",5051,9437,102127,"50603",2016,2551,115.9156804,-32.03479898,56391
7103,2819,169,1140,18954,"Major Cities of Australia",2457,3535,39019,"50702",2016,1379,115.6488527,-32.03237439,21316
3178,2321,130,396,13635,"Major Cities of Australia",744,5848,38790,"50703",2016,2362,115.8286621,-32.22769014,18488
19521,8582,295,2678,53518,"Major Cities of Australia",5524,9676,109116,"50704",2016,1852,115.8295665,-32.04781553,59173
7824,8616,219,1130,42339,"Major Cities of Australia",1375,22651,132165,"50705",2016,5624,115.7887674,-32.34396975,66407
937,856,29,163,4663,"Remote Australia",111,2324,16489,"50801",2016,357,121.83148,-33.30689022,9631
678,484,42,77,2718,"Remote Australia",96,1429,9884,"50802",2016,411,115.2461752,-24.82089332,5829
2421,1781,128,340,11345,"Outer Regional Australia",547,6239,42827,"50803",2016,1558,124.9020119,-28.67478754,28251
2662,1690,392,443,9943,"Remote Australia",538,4113,38825,"50804",2016,2526,126.0392102,-17.78717305,20767
3234,3012,163,558,15619,"Outer Regional Australia",500,8631,57612,"50805",2016,2041,119.3876752,-26.37692021,33033
4287,3346,225,523,19831,"Remote Australia",782,12460,65675,"50806",2016,1220,121.8441023,-21.86132446,50438
4597,3984,301,787,19453,"Outer Regional Australia",790,8890,60256,"50901",2016,1862,117.9982824,-34.14768248,26547
3182,3044,141,442,16446,"Inner Regional Australia",455,8305,55920,"50902",2016,1900,117.8010248,-30.98401956,25737
1268,1045,38,213,6126,"Outer Regional Australia",136,2656,21341,"50903",2016,624,118.1158549,-32.83878736,10562
587,729,46,99,3812,"Inner Regional Australia",89,2595,16702,"60101",2016,793,147.2624858,-42.7217817,7522
5651,3784,121,1025,18793,"Inner Regional Australia",1437,7656,52836,"60102",2016,1386,147.4417851,-42.8799202,25553
2961,2707,447,518,14694,"Inner Regional Australia",736,8345,52976,"60103",2016,2462,147.1761506,-42.79510159,24425
4660,2551,36,757,13825,"Inner Regional Australia",1529,4251,33187,"60104",2016,620,147.2310001,-42.98217467,16575
10805,3553,170,1802,28884,"Inner Regional Australia",4610,4055,51214,"60105",2016,1251,147.2994456,-42.89879138,27832
1075,1054,28,172,4501,"Inner Regional Australia",243,2881,15887,"60106",2016,478,147.6542141,-42.77096377,7805
7948,4863,530,1070,26231,"Inner Regional Australia",1914,11342,83492,"60201",2016,3324,147.1336239,-41.43144424,42199
1636,1449,41,257,5912,"Outer Regional Australia",356,3560,22953,"60202",2016,702,146.5413596,-41.57361763,11004
2254,2035,90,306,8657,"Outer Regional Australia",495,5808,37825,"60203",2016,1347,147.6960099,-41.30630101,17518
529,539,20,78,2537,"Outer Regional Australia",121,1736,11770,"60301",2016,310,146.6592665,-42.59951857,5788
1838,1418,33,315,6303,"Outer Regional Australia",556,2806,19570,"60302",2016,565,147.0144024,-43.19017111,9260
458,495,18,72,1803,"Outer Regional Australia",112,1059,6905,"60303",2016,149,147.9432768,-42.42800306,3150
2808,2690,136,461,10554,"Outer Regional Australia",567,7814,49535,"60401",2016,1461,145.9314294,-41.24605745,23791
2782,2678,108,441,10295,"Inner Regional Australia",462,7408,46077,"60402",2016,1333,146.3113519,-41.36810966,22201
860,880,32,133,3641,"Outer Regional Australia",148,2807,18134,"60403",2016,451,145.3592051,-41.6872997,9665
4445,2087,100,624,13342,"Outer Regional Australia",1434,3466,26942,"70101",2016,472,130.8615674,-12.42593223,17885
6920,3456,372,1125,22831,"Outer Regional Australia",2411,6677,58099,"70102",2016,1310,130.9127527,-12.41502828,32952
1298,1337,76,241,6661,"Outer Regional Australia",250,4833,23523,"70103",2016,345,131.1218167,-12.52983584,14076
7193,5639,374,836,30021,"Major Cities of Australia",1855,12315,83488,"50601",2016,4095,116.1369432,-32.16757828,43150
1730,1795,49,249,8809,"Major Cities of Australia",325,4933,25998,"50606",2016,677,116.0347535,-32.34500205,12862
9195,3314,137,1223,24364,"Major Cities of Australia",3221,3254,46414,"50607",2016,832,115.8704924,-31.99759274,27074
11800,7493,530,1585,43422,"Major Cities of Australia",2888,15226,106987,"50701",2016,3691,115.8293359,-32.12828508,58494
11701,7852,1262,1092,47082,"Major Cities of Australia",3379,15788,125792,"50604",2016,5169,115.9921459,-32.06620977,67392
562,366,251,97,2824,"Very Remote Australia",150,1139,18892,"70203",2016,598,131.9358329,-13.02789609,8770
5705,4381,199,859,22777,"Major Cities of Australia",1285,9039,60826,"50605",2016,1409,116.1148829,-32.01463271,33561
2523,2276,122,434,12030,"Outer Regional Australia",553,6024,35065,"70104",2016,805,130.9790979,-12.5025553,19870
269,186,142,52,1036,"Very Remote Australia",67,537,6862,"70202",2016,198,135.0628744,-19.28067602,3263
529,347,130,127,2883,"Very Remote Australia",163,911,13935,"70204",2016,364,135.7363799,-12.93293301,6263
982,781,363,172,3834,"Remote Australia",184,1825,21158,"70205",2016,477,132.9208508,-15.88770844,11687
265,113,5,51,837,"Major Cities of Australia",136,200,1490,"80103",2016,79,149.2354604,-35.30560698,811
3166,1897,637,613,10814,"Remote Australia",1035,3846,40715,"70201",2016,799,132.8740398,-23.00756822,24656
15830,6867,387,3035,50795,"Major Cities of Australia",7203,8927,96678,"80101",2016,2538,149.0585118,-35.21843829,53670
10938,7360,261,2104,41441,"Major Cities of Australia",3518,10543,84657,"80107",2016,2025,149.1023889,-35.46091619,50098
2064,809,31,344,5994,"Inner Regional Australia",915,945,5101,"80102",2016,36,148.9466672,-35.55586162,2307
12044,5802,283,1929,39421,"Major Cities of Australia",6306,6309,70050,"80104",2016,1234,149.1320584,-35.17884104,38802
12389,2731,182,2283,36064,"Major Cities of Australia",7293,2725,54618,"80105",2016,1264,149.1392855,-35.26235715,31259
6457,1625,71,1330,16590,"Major Cities of Australia",3942,1312,26828,"80106",2016,424,149.1199758,-35.31471846,15061
4036,1791,59,935,12158,"Major Cities of Australia",1784,1942,22234,"80108",2016,356,149.0473833,-35.34453089,11580
7585,2618,127,1389,20450,"Major Cities of Australia",3693,2263,34638,"80109",2016,553,149.0941136,-35.34991868,18255
